,Man5,Man6,Man7,MGn,NaM,NaM+1xHex,NaM+2xHex
REF,0.143,0.63,0.157,0,0.014,0.017,0.04
1-2D6,0.138,0.621,0.166,0,0.018,0.019,0.039
F-1B5,0.1,0.6,0.258,0,0,0.014,0.028
B-1C3,0.187,0.63,0.144,0.027,0,0,0.011
B-2D8,0.193,0.635,0.142,0.018,0,0,0.011
B-2F5,0.185,0.653,0.143,0.02,0,0,0
2-1E3,0.186,0.628,0.155,0.032,0,0,0
2-2D1,0.177,0.63,0.147,0.046,0,0,0
2-2F2,0.157,0.62,0.184,0.039,0,0,0
D-2A1,0.131,0.627,0.21,0.032,0,0,0
F-2B6,0.205,0.609,0.154,0.031,0,0,0
F-2F2,0.218,0.623,0.123,0.036,0,0,0
