,AAF,AAGnF,AGnF,AGnGnF,AGnGnGnF,AMF,GnGnF,GnGnGnF,GnGnGnGnF,MGnF,MMF,NaAAF,NaAAGnF,NaAF,NaAGnF,NaAGnGnF,NaGnF,NaGnGnF,NaGnGnGnF,NaMF,NaNaAAF,NaNaAF,NaNaAGnF,NaNaF,NaNaGnF,NaNaGnGnF,NaNaNaAF,NaNaNaF
REF,0.033,0,0,0,0,0,0,0,0,0,0,0.055,0,0.149,0,0,0,0,0,0,0.033,0.14,0,0.343,0,0,0.064,0.183
1-2D6,0.029,0,0,0,0,0,0,0.025,0,0,0,0.035,0,0.171,0,0,0,0,0,0,0.021,0.105,0,0.426,0,0,0.044,0.143
F-1B5,0.019,0,0.011,0,0,0,0,0,0,0,0,0.027,0,0.14,0,0,0,0,0,0,0,0.102,0,0.478,0,0,0.032,0.192
B-1C3,0.017,0,0.081,0.047,0.011,0.025,0.143,0.056,0.022,0.085,0,0.023,0.011,0.072,0.048,0.02,0.079,0.064,0.021,0.023,0,0.035,0.012,0.061,0.033,0.014,0,0
B-2D8,0.011,0.014,0.104,0.041,0,0.034,0.208,0.043,0.016,0.111,0,0.019,0,0.067,0.041,0.012,0.094,0.055,0.017,0.036,0,0.03,0,0.028,0.017,0,0,0
B-2F5,0,0.015,0.101,0.046,0.012,0.024,0.194,0.046,0.015,0.082,0,0.024,0,0.051,0.037,0.01,0.102,0.06,0.013,0.029,0,0.035,0.012,0.053,0.026,0.013,0,0
2-1E3,0,0,0.037,0.03,0.014,0.015,0.221,0.099,0.038,0.136,0.018,0,0,0.011,0.064,0.018,0.08,0.082,0.042,0.025,0,0,0,0.014,0.039,0.017,0,0
2-2D1,0,0,0.032,0.03,0.019,0,0.211,0.109,0.052,0.096,0.013,0,0,0.011,0.045,0.022,0.092,0.093,0.063,0.023,0,0,0,0.017,0.042,0.031,0,0
2-2F2,0,0,0.037,0.029,0.019,0.011,0.221,0.098,0.048,0.107,0.014,0,0,0.01,0.056,0.024,0.085,0.078,0.051,0.021,0,0,0,0.018,0.041,0.033,0,0
D-2A1,0,0,0.015,0.014,0.012,0,0.377,0.206,0.111,0.178,0.018,0,0,0,0,0,0.015,0.019,0.017,0,0,0,0,0,0.019,0,0,0
F-2B6,0,0,0.037,0.019,0.021,0.012,0.343,0.169,0.083,0.191,0.024,0,0.012,0,0,0,0.037,0.027,0,0,0,0,0,0,0.024,0,0,0
F-2F2,0,0,0.036,0.011,0,0.01,0.339,0.168,0.089,0.242,0.022,0,0,0,0,0,0.02,0.03,0.032,0,0,0,0,0,0,0,0,0
