,AAAAF,AAAF,AAAGnF,AAF,AAGnF,AAGnGnF,AGnF,AGnGnF,AGnGnGnF,AMF,GnGnF,GnGnGnF,GnGnGnGnF,Man5,MGnF,NaAAAF,NaAAF,NaAAGnF,NaAF,NaAGnF,NaAGnGnF,NaGnF,NaGnGnF,NaGnGnGnF,NaMF,NaNaAAF,NaNaAF,NaNaAGnF,NaNaF,NaNaGnF,NaNaGnGnF,NaNaNaAF,NaNaNaF,NaNaNaGnF
REF,0.0095,0.0285,0.047,0.0505,0.0065,0,0.021,0.0095,0,0.0075,0.008,0,0,0,0,0.0245,0.0535,0,0.1445,0,0.006,0.015,0.0065,0,0,0.028,0.0705,0,0.2135,0,0.0135,0.0605,0.145,0
1-2D6,0.025,0.035,0.039,0.053,0.016,0,0.021,0.021,0,0.015,0.024,0.021,0.013,0.016,0.014,0.037,0.054,0,0.131,0.012,0,0.018,0.034,0,0.012,0.022,0.053,0,0.197,0,0,0.03,0.055,0
F-1B5,0.018,0.034,0.04,0.102,0.017,0,0.053,0.028,0,0,0.062,0.023,0,0.013,0.013,0.013,0.046,0,0.142,0.013,0,0.031,0.017,0,0,0.02,0.049,0,0.165,0,0,0.021,0.046,0
B-1C3,0,0,0,0.03,0.016,0.014,0.032,0.032,0.021,0.015,0.191,0.123,0.042,0,0.04,0.025,0.01,0.018,0.022,0.02,0.028,0.05,0.05,0.039,0.014,0.017,0.016,0.02,0.018,0.019,0.026,0.014,0,0.016
B-2D8,0,0,0.016,0.032,0.017,0.018,0.036,0.034,0.021,0.015,0.19,0.109,0.037,0,0.038,0.029,0,0.018,0.018,0.019,0.026,0.053,0.047,0.034,0.012,0.017,0.016,0.021,0.021,0.019,0.024,0.015,0.013,0.015
B-2F5,0,0,0.012,0.027,0.019,0.016,0.038,0.035,0.022,0.014,0.19,0.117,0.042,0,0.036,0.026,0,0.02,0.02,0.019,0.025,0.052,0.049,0.034,0,0.019,0.017,0.022,0.019,0.019,0.025,0.016,0.011,0.016
2-1E3,0,0,0.012,0,0,0,0.032,0.024,0.016,0.013,0.22,0.125,0.044,0,0.042,0.024,0,0,0.012,0.015,0.02,0.102,0.097,0.052,0,0,0,0.013,0.016,0.036,0.039,0,0,0.013
2-2D1,0,0,0.014,0,0,0,0.028,0.021,0.015,0.013,0.231,0.119,0.056,0,0.038,0.031,0,0,0,0.011,0.017,0.093,0.083,0.059,0.012,0,0,0.013,0.017,0.03,0.042,0,0,0.017
2-2F2,0,0,0.013,0,0,0,0.028,0.021,0.014,0.013,0.219,0.107,0.049,0,0.035,0.026,0,0,0.011,0.013,0.018,0.109,0.088,0.058,0.014,0,0,0.015,0.021,0.032,0.043,0,0,0.02
D-2A1,0,0,0,0,0,0,0,0,0,0.015,0.338,0.279,0.164,0,0.051,0.03,0,0.013,0,0,0.012,0.016,0.016,0.02,0,0.012,0,0,0,0.016,0,0,0,0
F-2B6,0,0,0,0.026,0,0,0,0.019,0.014,0.019,0.278,0.254,0.187,0,0.052,0.017,0,0.013,0,0,0,0.023,0.023,0.032,0.012,0,0,0,0,0.013,0,0,0,0
F-2F2,0,0,0,0.018,0,0,0.013,0.012,0.013,0.012,0.302,0.249,0.256,0,0.069,0.026,0,0.015,0,0,0.011,0.02,0.022,0.023,0,0,0,0,0,0.013,0,0,0,0
