,AAAF,AAAGnF,AAF,AAGnGnF,AGnF,AGnGnF,AGnGnGnF,GnGnF,GnGnGnF,GnGnGnGnF,MGnF,NaAAAF,NaAAF,NaAAGnF,NaAF,NaAGnF,NaAGnGnF,NaGnF,NaGnGnF,NaGnGnGnF,NaNaAAF,NaNaAF,NaNaAGnF,NaNaF,NaNaGnF,NaNaGnGnF,NaNaNaAF,NaNaNaF,NaNaNaGnF,NaNaNaNaF,NaNaNaNaF+LacNAc
REF,0.015,0.01,0.021,0,0.0055,0,0,0,0,0,0,0.037,0.052,0,0.066,0.012,0.0195,0.016,0.0185,0,0.1265,0.0755,0.0165,0.0425,0,0.0215,0.181,0.058,0,0.165,0.029
1-2D6,0,0.021,0.021,0,0,0.016,0,0.011,0.017,0,0,0.032,0.043,0.013,0.058,0.012,0.032,0.024,0.034,0.016,0.083,0.069,0.025,0.047,0.018,0.054,0.121,0.062,0.019,0.098,0.054
F-1B5,0.018,0,0.035,0,0.035,0.023,0,0.039,0.029,0.012,0,0.037,0.054,0.017,0.089,0.028,0.019,0.043,0.024,0.013,0.088,0.066,0.018,0.043,0,0.024,0.098,0.039,0,0.055,0.023
B-1C3,0,0,0,0.016,0.012,0.023,0.073,0.122,0.175,0.218,0.015,0,0,0.013,0,0,0.048,0.016,0.036,0.124,0,0,0.026,0,0,0.059,0,0,0.024,0,0
B-2D8,0,0,0,0.016,0.013,0.025,0.071,0.127,0.17,0.21,0.015,0,0,0.013,0,0,0.044,0.017,0.04,0.12,0,0,0.026,0,0.011,0.058,0,0,0.025,0,0
B-2F5,0,0,0,0.015,0.012,0.026,0.073,0.125,0.171,0.216,0.014,0,0,0.014,0,0.011,0.049,0.015,0.035,0.113,0,0,0.029,0,0,0.058,0,0,0.022,0,0
2-1E3,0,0,0,0,0,0.023,0.027,0.099,0.089,0.047,0,0,0,0,0,0.019,0.053,0.039,0.09,0.145,0,0,0.045,0,0.044,0.183,0,0,0.097,0,0
2-2D1,0,0,0,0,0.013,0.021,0.024,0.1,0.086,0.06,0.012,0,0,0,0,0.014,0.054,0.036,0.083,0.157,0,0,0.039,0,0.04,0.181,0,0,0.079,0,0
2-2F2,0,0,0,0,0.015,0.024,0.022,0.101,0.081,0.048,0,0,0,0,0,0.018,0.055,0.045,0.088,0.146,0,0,0.039,0,0.047,0.186,0,0,0.085,0,0
D-2A1,0,0,0,0,0,0,0.025,0.186,0.289,0.419,0.026,0,0,0,0,0,0,0,0.011,0.044,0,0,0,0,0,0,0,0,0,0,0
F-2B6,0,0,0,0,0,0,0.042,0.123,0.246,0.474,0.016,0,0,0,0,0,0,0,0.019,0.08,0,0,0,0,0,0,0,0,0,0,0
F-2F2,0,0,0,0,0,0.012,0.037,0.173,0.27,0.401,0.024,0,0,0,0,0,0,0,0.017,0.066,0,0,0,0,0,0,0,0,0,0,0
