,Man5,AA,AGn,GnGn,MGn,MM,NaA,NaGn,NaNa,AAF,AGnF,AMF,GnGnF,MGnF,MMF,NaAF,NaGnF,NaNaF
REF,0.018,0.043,0.02,0,0,0,0.145,0.04,0.093,0.09,0.035,0,0,0,0,0.271,0.068,0.166
1-2D6,0.025,0.036,0.02,0,0,0,0.129,0.04,0.096,0.072,0.042,0,0.016,0,0,0.249,0.076,0.187
F-1B5,0.03,0.03,0.026,0,0,0,0.158,0.076,0.112,0.047,0.034,0,0.012,0,0,0.223,0.094,0.159
B-1C3,0.013,0,0.045,0.17,0.051,0,0,0.034,0,0.019,0.099,0.013,0.358,0.092,0.012,0.025,0.068,0
B-2D8,0.014,0,0.041,0.17,0.051,0,0,0.037,0,0.017,0.093,0.012,0.354,0.094,0.011,0.025,0.079,0
B-2F5,0.012,0,0.046,0.178,0.045,0,0.011,0.035,0,0.019,0.103,0.012,0.367,0.076,0,0.025,0.073,0
2-1E3,0.016,0,0.013,0.182,0.068,0.014,0,0.013,0,0,0.028,0,0.442,0.165,0.021,0,0.038,0
2-2D1,0.013,0,0.012,0.19,0.051,0,0,0.014,0,0,0.026,0,0.496,0.131,0.014,0,0.042,0
2-2F2,0.019,0,0.013,0.203,0.06,0.013,0,0.016,0,0,0.026,0,0.461,0.134,0.016,0,0.039,0
D-2A1,0.023,0,0,0.228,0.061,0.011,0,0,0,0,0,0,0.535,0.126,0.016,0,0,0
F-2B6,0.014,0,0,0.195,0.083,0.021,0,0,0,0,0.018,0,0.468,0.174,0.026,0,0,0
F-2F2,0.011,0,0,0.214,0.077,0.015,0,0,0,0,0.011,0,0.469,0.177,0.025,0,0,0
