,AAAF,AAF,AAGnGnF,AGnF,AGnGnF,AGnGnGnF,GnGnF,GnGnGnF,GnGnGnGnF,MGnF,NaAAAF,NaAAF,NaAAGnF,NaAF,NaAGnF,NaAGnGnF,NaGnF,NaGnGnF,NaGnGnGnF,NaNaAAF,NaNaAF,NaNaAGnF,NaNaF,NaNaGnF,NaNaGnGnF,NaNaNaAF,NaNaNaF,NaNaNaGnF,NaNaNaNaF,NaNaNaNaF+LacNAc
REF,0.0215,0.0145,0,0,0,0,0,0,0,0,0.028,0.0375,0,0.0365,0.0055,0,0,0,0,0.0845,0.0915,0,0.0335,0.0055,0,0.1785,0.144,0,0.267,0.053
1-2D6,0.015,0.012,0,0,0,0,0,0,0,0,0.021,0.033,0.013,0.036,0.014,0.02,0,0.014,0,0.085,0.082,0.018,0.044,0.017,0,0.184,0.103,0.015,0.186,0.087
F-1B5,0.014,0.029,0,0.024,0.021,0,0,0.016,0,0,0.026,0.049,0.012,0.048,0.034,0.012,0.018,0.029,0,0.067,0.138,0.019,0.04,0.026,0,0.116,0.105,0,0.093,0.038
B-1C3,0,0,0.017,0.012,0.036,0.062,0.059,0.177,0.165,0.012,0,0,0.015,0,0.016,0.047,0.017,0.056,0.098,0.012,0,0.031,0,0.022,0.054,0.023,0.013,0.033,0.023,0
B-2D8,0,0,0.017,0.013,0.038,0.061,0.057,0.167,0.154,0.011,0,0,0.015,0,0.019,0.044,0.017,0.059,0.097,0.014,0,0.032,0,0.025,0.058,0.029,0.014,0.04,0.019,0
B-2F5,0,0,0.018,0.014,0.036,0.064,0.054,0.166,0.152,0.011,0,0,0.017,0,0.017,0.043,0.015,0.057,0.094,0.015,0,0.034,0,0.024,0.058,0.031,0.014,0.039,0.028,0
2-1E3,0,0,0.011,0,0.025,0.021,0.031,0.044,0.034,0,0,0,0.016,0,0.031,0.046,0.028,0.085,0.057,0.013,0.02,0.052,0.015,0.082,0.096,0.035,0.046,0.105,0.097,0.012
2-2D1,0,0,0.011,0,0.025,0.023,0.043,0.059,0.047,0,0,0,0.015,0,0.024,0.048,0.029,0.087,0.081,0,0.014,0.048,0.017,0.068,0.107,0.032,0.035,0.107,0.067,0.012
2-2F2,0,0,0,0.011,0.021,0.019,0.046,0.046,0.032,0,0,0,0.014,0,0.028,0.044,0.034,0.085,0.064,0.012,0.019,0.053,0.015,0.079,0.106,0.037,0.047,0.113,0.075,0
D-2A1,0,0,0,0,0.01,0.02,0.112,0.353,0.402,0.024,0,0,0,0,0,0,0,0.02,0.044,0,0,0,0,0,0,0,0,0,0,0
F-2B6,0,0,0,0,0.013,0.03,0.081,0.31,0.448,0.021,0,0,0,0,0,0,0,0.028,0.07,0,0,0,0,0,0,0,0,0,0,0
F-2F2,0,0,0,0,0.014,0.0289,0.107,0.345,0.391,0.028,0,0,0,0,0,0,0,0.03,0.058,0,0,0,0,0,0,0,0,0,0,0
