,UDPGal,UDPGlc,GDPMan,GDPFuc,CMPNeu5Ac,UDPGalNAc,UDPGlcNAc
Control-168Exp,0.018372699162728,0.082634357490798,0.388891391700973,0.423337234394362,0.370840602299719,0.024999432463772,0.013735789939788
Control-216Exp,0.01650406552988,0.089788933683848,0.374659766473817,0.414423141055418,0.414427854419705,0.062254997593836,0.051238344927809
Control-264Exp,0.01520794246292,0.093526055953095,0.340880574687301,0.389286295630511,0.459357055553125,0.133846231937804,0.109140244950048
Control-288Exp,0.014838178275831,0.096403336722637,0.289369063398563,0.349279215172575,0.482043564674911,0.180343810599071,0.147762386926989
10G-168Exp,0.055876164611754,0.108012453116654,0.422528750628343,0.447023473278268,0.370912092000121,0.025125957105436,0.014047542740158
10G-216Exp,0.171630894636261,0.12092554295931,0.443831363104643,0.463019056650955,0.414541133526578,0.063006442682109,0.0522814186746
10G-264Exp,0.103103241845479,0.130550181669173,0.452869530618517,0.469516768128567,0.459479173804931,0.135281443588675,0.11098227523919
10G5U-168Exp,0.191748143223755,0.224617604609086,0.436103830681038,0.456225950784437,0.386966644364922,0.127242617709794,0.089093294956272
10G5U-216Exp,0.312113968081812,0.330026187569855,0.46701285663533,0.478147463538269,0.431988896193274,0.254714151191054,0.218677770890606
10G5U-264Exp,0.380803692849343,0.450128136934431,0.489039004554347,0.492930372387265,0.477296454912327,0.415434213492293,0.400698134556139
10G5U-288Exp,0.409882994978949,0.499273729996663,0.482360295557279,0.489076653811823,0.5,0.5,0.5
10G20U-168Exp,0.469622154421602,0.5,0.457075771624724,0.470653121041838,0.388946497786973,0.213003411753867,0.195923951777435
50G5U-168Exp,0.247119408926328,0.229403223439735,0.436053711869045,0.456102769260068,0.386967152471952,0.127224002250291,0.088989577889061
50G5U-216Exp,0.420284595449271,0.336326704479673,0.474554690413508,0.483143191458242,0.431986250201949,0.254621162041344,0.218522579192886
50G5U-264Exp,0.5,0.458363056156244,0.5,0.5,0.477291987405235,0.415291685278284,0.400688604726326
